System,School,FRL
Crisp County,Crisp County High School,
Crisp County,Crisp County Elementary School,
Crisp County,Crisp County Primary School,
Crisp County,Crisp County Middle School,
Dade County,Dade Elementary School,60.76
Dade County,Davis Elementary School,63.7
Dade County,Dade County High School,55.18
Dade County,Dade Middle School,58.39
Dalton Public Schools,Westwood Elementary School,51.08
Dalton Public Schools,Roan Elementary School,89.32
Dalton Public Schools,Blue Ridge Elementary School,90.26
Dalton Public Schools,Brookwood Elementary School,56.52
Dalton Public Schools,Park Creek Elementary School,94.26
Dalton Public Schools,Dalton High School,62.99
Dalton Public Schools,Dalton Middle School,80.3
Dalton Public Schools,Morris Innovative High School,84.09
Dalton Public Schools,City Park Elementary School,88.79
Dawson County,Dawson County High School ,34.85
Dawson County,Dawson County Middle School,43.36
Dawson County,Riverview Elementary School,47.95
Dawson County,Robinson Elementary School,54.58
Dawson County,Dawson County Junior High,58.92
Dawson County,Black's Mill Elementary School,50.78
Dawson County,Kilough Elementary School,51.73
DeKalb County,Vanderlyn Elementary School,
DeKalb County,Avondale Elementary School,
DeKalb County,Chamblee Charter High School,34.93
DeKalb County,Rock Chapel Elementary School,86.23
DeKalb County,Panola Way Elementary School,
DeKalb County,Pine Ridge Elementary School,85.38
DeKalb County,Redan High School,79.32
DeKalb County,Towers High School,74.77
DeKalb County,Cedar Grove Elementary School,83.9
DeKalb County,Wynbrooke Elementary School,55.79
DeKalb County,Leadership Preparatory Academy,56.22
DeKalb County,Canby Lane Elementary School,
DeKalb County,UHS of Laurel Heights,
DeKalb County,Clifton Elementary School,91.84
DeKalb County,Evansdale Elementary School,57.32
DeKalb County,Lithonia High School,78.77
DeKalb County,International Student Center,
DeKalb County,Sequoyah Middle School,
DeKalb County,Dunaire Elementary School,
DeKalb County,Clarkston High School,85.08
DeKalb County,Laurel Ridge Elementary School,42.44
DeKalb County,Tucker Middle School,75.67
DeKalb County,Midvale Elementary School,64.89
DeKalb County,Dunwoody High School,29.64
DeKalb County,GLOBE Academy Charter School I,
DeKalb County,East DeKalb Special Education Center,7.69
DeKalb County,Henderson Middle School,54.29
DeKalb County,Chapel Hill Elementary School,82.85
DeKalb County,McLendon Elementary School,85.53
DeKalb County,Austin Elementary School,
DeKalb County,Tucker High School,62.23
DeKalb County,Robert Shaw Theme School,87.01
DeKalb County,Peachcrest Elementary School,
DeKalb County,Lakeside High School,41.12
DeKalb County,Miller Grove High School,75.68
DeKalb County,Museum School Avondale Estates,12.43
DeKalb County,Ronald E McNair Discover Learning Academy Elementary School,
DeKalb County,Cary Reynolds Elementary School,
DeKalb County,Briarlake Elementary School,26.58
DeKalb County,Snapfinger Elementary School,
DeKalb County,Princeton Elementary School,82.37
DeKalb County,The Champion Middle Theme School,61.18
DeKalb County,Columbia Elementary School,
DeKalb County,Destiny Achievers Academy of Excellence,39.87
DeKalb County,Sagamore Hills Elementary School,31.58
DeKalb County,DeKalb Alternative School,93.98
DeKalb County,Arabia Mountain High School - Academy of Engineering  Medicine and Environm,49.07
DeKalb County,Woodridge Elementary School,85.94
DeKalb County,Woodward Elementary School,
DeKalb County,Huntley Hills Elementary School,65.91
DeKalb County,Redan Elementary School,
DeKalb County,DeKalb Elementary School of the Arts,64
DeKalb County,Ashford Park Elementary School,26.5
DeKalb County,Allgood Elementary School,
DeKalb County,Indian Creek Elementary School,
DeKalb County,Chesnut Elementary School,38.55
DeKalb County,Narvie Harris Elementary School,62.36
DeKalb County,Idlewood Elementary School,94.18
DeKalb County,Brockett Elementary School,76
DeKalb County,Marbut Elementary School,80.74
DeKalb County,Stoneview Elementary School,93.18
DeKalb County,Kingsley Elementary School,50.91
DeKalb County,Flat Rock Elementary School,85.08
DeKalb County,Kittredge Magnet School,7.69
DeKalb County,Rainbow Elementary School,84.28
DeKalb County,Salem Middle School,83.54
DeKalb County,Edward L. Bouie  Sr. Elementary School,63.88
DeKalb County,Southwest DeKalb High School,69.11
DeKalb County,Shadow Rock Elementary School,91.89
DeKalb County,Columbia High School,78.9
DeKalb County,Oakcliff Elementary School,93.68
DeKalb County,International Community School,72.79
DeKalb County,Columbia Middle School,
DeKalb County,Hightower Elementary School,
DeKalb County,Wadsworth Magnet School for High Achievers,53.19
DeKalb County,Bob Mathis Elementary School,87.15
DeKalb County,McNair Middle School,
DeKalb County,Mary McLeod Bethune Middle School,
DeKalb County,Freedom Middle School,
DeKalb County,Cedar Grove Middle School,89.83
DeKalb County,DeKalb Academy of Technology and the Environment Charter School,21.3
DeKalb County,Margaret Harris Comprehensive School,63.79
DeKalb County,Druid Hills Middle School,55.93
DeKalb County,Flat Shoals Elementary School,
DeKalb County,Martin Luther King  Jr. High School ,69.91
DeKalb County,Jolly Elementary School,
DeKalb County,Henderson Mill Elementary School,67.18
DeKalb County,Stone Mountain Middle School,92.03
DeKalb County,Briar Vista Elementary School,54.93
DeKalb County,Hambrick Elementary School,
DeKalb County,Hawthorne Elementary School,53.47
DeKalb County,Tapestry Public Charter School,
DeKalb County,Rockbridge Elementary School,92.14
DeKalb County,Stone Mountain Elementary School,92.99
DeKalb County,Coralwood Education Center,12.66
DeKalb County,Toney Elementary School,
DeKalb County,McNair High School,83.65
DeKalb County,Stone Mill Elementary School,
DeKalb County,Peachtree Middle School,36.83
DeKalb County,Livsey Elementary School,40.61
DeKalb County,DeKalb Preparatory Academy Charter,78.72
DeKalb County,Chamblee Middle School,31.8
DeKalb County,Montgomery Elementary School,8.23
DeKalb County,Eldridge L. Miller Elementary School,
DeKalb County,Stone Mountain High School,86.26
DeKalb County,Stephenson High School,65.16
DeKalb County,Rowland Elementary School,
DeKalb County,DeKalb School of the Arts,27.71
DeKalb County,Montclair Elementary School,94.52
DeKalb County,Fairington Elementary School,
DeKalb County,DeKalb PATH Academy Charter School,
DeKalb County,Redan Middle School,88.9
DeKalb County,Dunwoody Elementary School,10.62
DeKalb County,Cross Keys High School,86.8
DeKalb County,Druid Hills High School,53.56
DeKalb County,Miller Grove Middle School,90.9
DeKalb County,Lithonia Middle School,89.71
DeKalb County,Pleasantdale Elementary School,
DeKalb County,Dresden Elementary School,
DeKalb County,Oak Grove Elementary School,6.09
DeKalb County,Smoke Rise Elementary School,80.05
DeKalb County,Chapel Hill Middle School,77.35
DeKalb County,Browns Mill Elementary School,86.46
DeKalb County,Dekalb Early College Academy,60.5
DeKalb County,Meadowview Elementary School,
DeKalb County,Murphy Candler Elementary School,84.6
DeKalb County,Stephenson Middle School,85.53
DeKalb County,Kelley Lake Elementary School,
DeKalb County,Cedar Grove High School,79.13
DeKalb County,Fernbank Elementary School,14.44
DeKalb County,Elizabeth Andrews High School,52.91
DeKalb County,Oakview Elementary,89.48
Decatur County,Elcan-King Elementary School,
Decatur County,Hutto Middle School,
Decatur County,New Beginning Learning Center,
Decatur County,John Johnson Elementary School,
Decatur County,Jones-Wheat Elementary School,
Decatur County,Bainbridge Middle School,
Decatur County,Bainbridge High School,87.29
Decatur County,Potter Street Elementary School,
Decatur County,West Bainbridge Elementary School,87.3
Dodge County,Dodge County High School,64.99
Dodge County,South Dodge Elementary School,
Dodge County,DAC (Dodge County Achievement Center),85
Dodge County,Dodge County Middle School,65.96
Dodge County,North Dodge Elementary School,90.73
Dooly County,Dooly County High School,
Dooly County,Dooly County Elementary School,
Dooly County,Dooly County Middle School,
Dougherty County,Robert H Harvey Elementary School,
Dougherty County,Radium Springs Elementary School,
Dougherty County,Robert A. Cross Middle Magnet,
Dougherty County,Dougherty Comprehensive High School,
Dougherty County,Albany High School,
Dougherty County,Lamar Reese School of the Arts,
Dougherty County,Radium Springs Middle School,
Dougherty County,West Town Elementary School,
Dougherty County,Westover High School,
Dougherty County,Morningside Elementary School,
Dougherty County,Lake Park Elementary School,
Dougherty County,Martin Luther King  Jr. Elementary School,
Dougherty County,International Studies Elementary Charter School,
Dougherty County,Southside Middle School,
Dougherty County,Turner Elementary School,
Dougherty County,Merry Acres Middle School,
Dougherty County,Sherwood Acres Elementary School,
Dougherty County,Monroe High School,
Dougherty County,Albany Middle School,
Dougherty County,Alice Coachman Elementary School,
Dougherty County,Lincoln Elementary Magnet School,
Dougherty County,Live Oak Elementary School,
Dougherty County,Northside Elementary School,
Douglas County,Chapel Hill High School,43.45
Douglas County,Yeager Middle School,70.11
Douglas County,New Manchester Elementary School,66.44
Douglas County,Turner Middle School,78.35
Douglas County,Alexander High School,37.42
Douglas County,Brighten Academy,32.61
Douglas County,New Manchester High School,65.3
Douglas County,Mason Creek Middle School,56.77
Douglas County,Chapel Hill Elementary School,52.01
Douglas County,Chapel Hill Middle School,46.25
Douglas County,Winston Elementary School,67.57
Douglas County,Sweetwater Elementary School,82.29
Douglas County,Mount Carmel Elementary School,66.13
Douglas County,Mason Creek Elementary School,47.72
Douglas County,South Douglas Elementary School,24.52
Douglas County,Lithia Springs Elementary School,81.34
Douglas County,Beulah Elementary School,77.75
Douglas County,Fairplay Middle School,27.71
Douglas County,Bill Arp Elementary School,63.59
Douglas County,Factory Shoals Middle School,72.68
Douglas County,Mirror Lake Elementary School,46.54
Douglas County,Burnett Elementary School,89.41
Douglas County,Lithia Springs Comprehensive High School,71.67
Douglas County,Douglas County High School,59.89
Douglas County,Bright Star Elementary School,78.27
Douglas County,Eastside Elementary School,89.09
Douglas County,Factory Shoals Elementary School,80.24
Douglas County,Arbor Station Elementary School,59.64
Douglas County,North Douglas Elementary School,87.7
Douglas County,Chestnut Log Middle School,73.6
Douglas County,Youth Villages at Inner Harbour,
Douglas County,Holly Springs Elementary,46.2
Douglas County,Dorsett Shoals Elementary School,66.22
Douglas County,Stewart Middle School,85.1
Douglas County,Annette Winn Elementary School,86.47
Dublin City,Hillcrest Elementary,
Dublin City,Saxon Heights,
Dublin City,Community Hope Center,
Dublin City,Moore Street Facility,
Dublin City,Dublin High School,
Dublin City,Dublin Middle School,
Dublin City,Susie Dasher,
Early County,Early County High School,
Early County,Early County Middle School,
Early County,Early County Elementary School,
Echols County,Echols County Elementary/Middle School,90.58
Echols County,Echols County High School,90.39
Effingham County,Sand Hill Elementary School,57.14
Effingham County,Marlow Elementary School,34.95
Effingham County,Springfield Elementary School,58.44
Effingham County,Rincon Elementary School,48.3
Effingham County,Blandford Elementary School,37.57
Effingham County,South Effingham Elementary School,24.7
Effingham County,Effingham County Middle School,52.57
Effingham County,South Effingham Middle School,29.91
Effingham County,South Effingham High School,27.27
Effingham County,Guyton Elementary School,58.69
Effingham County,Ebenezer Elementary School,37.15
Effingham County,Effingham County High School,38.68
Effingham County,Ebenezer Middle School,38.7
Elbert County,Elbert County Primary School,93.12
Elbert County,Elberton Education Center,94.44
Elbert County,Elbert County High School,61.97
Elbert County,Elbert County Elementary School,93.03
Elbert County,Elbert County Middle School ,93.08
Emanuel County,Swainsboro Primary School,87.58
Emanuel County,Emanuel County Institute,87.44
Emanuel County,Twin City Elementary School,87.63
Emanuel County,Swainsboro Middle School,87.92
Emanuel County,Swainsboro Elementary School,87.4
Emanuel County,Swainsboro High School,87.57
Evans County,Claxton Middle School,
Evans County,Claxton High School,
Evans County,Claxton Elementary School,
Fannin County,West Fannin Elementary School,65.59
Fannin County,Fannin County High School,52.35
Fannin County,East Fannin Elementary School,72.47
Fannin County,Blue Ridge Elementary School,57.98
Fannin County,Fannin County Middle School,58.87
Fayette County,Sandy Creek High School,33.41
Fayette County,Whitewater Middle School,20.44
Fayette County,Bennett's Mill Middle School,48.91
Fayette County,Huddleston Elementary School,27.8
Fayette County,Rising Starr Middle School,9.62
Fayette County,Inman Elementary,33.28
Fayette County,Crabapple Lane Elementary School,16.56
Fayette County,Cleveland Elementary School,39.41
Fayette County,McIntosh High School,10.18
Fayette County,Fayette County High School,42.16
Fayette County,Oak Grove Elementary School,30.57
Fayette County,Booth Middle School,14.89
Fayette County,Starrs Mill High School,9.12
Fayette County,Spring Hill Elementary School,58.97
Fayette County,Fayetteville Elementary School,52.76
Fayette County,Peachtree City Elementary School,11.84
Fayette County,Whitewater High School,15.21
Fayette County,North Fayette Elementary School,54.96
Fayette County,Braelinn Elementary School,6.55
Fayette County,Flat Rock Middle School,42.21
Fayette County,Peeples Elementary School,11.13
Fayette County,Sara Harp Minter Elementary School,17.66
Fayette County,Kedron Elementary School,17.33
Fayette County,Robert J. Burch Elementary School,56.2
Floyd County,Pepperell Primary,69.64
Floyd County,Pepperell Elementary,72.51
Floyd County,Pepperell Middle School,66.07
Floyd County,Armuchee Elementary School,55.8
Floyd County,Cave Spring Elementary School,68.22
Floyd County,Johnson Elementary,41.42
Floyd County,Alto Park Elementary School,78.27
Floyd County,Coosa High School,64.05
Floyd County,Coosa Middle School,73.55
Floyd County,Model High,41.12
Floyd County,Armuchee Middle School,51.03
Floyd County,Garden Lakes Elementary School,75.99
Floyd County,Glenwood Primary School,48.27
Floyd County,Model Elementary School,64.06
Floyd County,Model Middle School,51.45
Floyd County,Pepperell High School,57.08
Floyd County,Armuchee High School,37.92
Floyd County,McHenry Primary,83.11
Forsyth County,Matt Elementary School,22.17
Forsyth County,Piney Grove Middle School,16.53
Forsyth County,Vickery Creek Elementary School,7.94
Forsyth County,Big Creek Elementary School,5.79
Forsyth County,Chestatee Elementary,46.52
Forsyth County,Cumming Elementary School,65.62
Forsyth County,Sharon Elementary School,
Forsyth County,Brookwood Elementary,
Forsyth County,Haw Creek Elementary,9.46
Forsyth County,Riverwatch Middle School,5.34
Forsyth County,North Forsyth Middle School,18.82
Forsyth County,Silver City Elementary School,20.49
Forsyth County,Little Mill Middle School,34.1
Forsyth County,Settles Bridge Elementary School,5.73
Forsyth County,Lambert High School,
Forsyth County,Otwell Middle School,36.61
Forsyth County,Midway Elementary School,46.52
Forsyth County,South Forsyth Middle School,
Forsyth County,Forsyth Central High School,28.95
Forsyth County,George W. Whitlow Elementary,30.82
Forsyth County,Chattahoochee Elementary School,33.97
Forsyth County,Lakeside Middle School,9
Forsyth County,Kelly Mill Elementary,6.36
Forsyth County,Daves Creek Elementary School,
Forsyth County,Shiloh Point Elementary,12.7
Forsyth County,North Forsyth High School,19.46
Forsyth County,South Forsyth High School,9.57
Forsyth County,West Forsyth High School,11.73
Forsyth County,Johns Creek Elementary,
Forsyth County,Vickery Creek Middle School,6.4
Forsyth County,Liberty Middle School,21.22
Forsyth County,Mashburn Elementary School,23.18
Forsyth County,Sawnee Elementary School,27.25
Forsyth County,Coal Mountain Elementary School,23.07
Franklin County,Franklin County Middle School,62.13
Franklin County,Carnesville Elementary Primary School,54.68
Franklin County,Lavonia Elementary School,73.84
Franklin County,Royston Elementary School,68.19
Franklin County,Franklin County High School,47.17
Franklin County,Carnesville Elementary Intermediate School,55.99
Fulton County,Lee Elementary School,
Fulton County,Spalding Drive Elementary,27.68
Fulton County,Manning Oaks Elementary School ,32.82
Fulton County,Milton High School,10.78
Fulton County,High Point Elementary School,51.5
Fulton County,Paul D. West Middle School,
Fulton County,Cogburn Woods Elementary School ,13.38
Fulton County,Roswell North Elementary School,23.63
Fulton County,Palmetto Elementary School,90.53
Fulton County,Langston Hughes High School,79.24
Fulton County,Barnwell Elementary School,8.89
Fulton County,Banneker High School,
Fulton County,Dunwoody Springs Elementary School,66.83
Fulton County,Creekside High School,78.7
Fulton County,Hembree Springs Elementary School,39.95
Fulton County,Renaissance ES,72.1
Fulton County,Alpharetta Elementary School,18.6
Fulton County,Shakerag Elementary School,5.55
Fulton County,Wilson Creek Elementary School ,8.81
Fulton County,Chattahoochee Hills Charter School,51.1
Fulton County,Ocee Elementary School,15.93
Fulton County,Campbell Elementary School,86.25
Fulton County,Renaissance Middle School ,81.02
Fulton County,Cliftondale Elementary School,68.28
Fulton County,Randolph Elementary School,68.33
Fulton County,Chattahoochee High School,10.7
Fulton County,Amana Academy School,52.23
Fulton County,Medlock Bridge Elementary School,11.6
Fulton County,Autrey Mill Middle School,10.06
Fulton County,Georgia Baptist Children's Home and Family Ministries,
Fulton County,Northwestern Middle School,7.42
Fulton County,Bethune Elementary School,
Fulton County,E. C. West Elementary School,76.25
Fulton County,Feldwood Elementary School,
Fulton County,Elkins Pointe Middle School,43.78
Fulton County,Liberty Point Elementary School,88.8
Fulton County,Holcomb Bridge Middle School,56.16
Fulton County,Northwood Elementary School,25.71
Fulton County,Hamilton E. Holmes Elementary,
Fulton County,Main Street Charter Academy,51.11
Fulton County,River Trail Middle School,5.92
Fulton County,Roswell High School,25.51
Fulton County,Findley Oaks Elementary School,6.48
Fulton County,Riverwood International Charter School,40.99
Fulton County,Hillside Elementary School,58.63
Fulton County,Northview High School,6.13
Fulton County,Woodland Elementary School,52.06
Fulton County,Latin College Prep,67.24
Fulton County,Abbotts Hill Elementary School,11.78
Fulton County,Johns Creek High School,7.47
Fulton County,KIPP South Fulton Academy School,69.91
Fulton County,New Prospect Elementary School,15.54
Fulton County,Hopewell Middle School,12.54
Fulton County,State Bridge Crossing Elementary School,14.62
Fulton County,College Park Elementary,
Fulton County,Latin Grammar School,79.34
Fulton County,Ridgeview Charter School,53.99
Fulton County,Camp Creek Middle School,
Fulton County,S. L. Lewis Elementary School,
Fulton County,Heards Ferry Elementary School,6.37
Fulton County,Heritage Elementary School,
Fulton County,Hapeville Charter Middle School,88.28
Fulton County,Independence High School,76.74
Fulton County,Jackson Elementary School,72.63
Fulton County,Taylor Road Middle School,11.24
Fulton County,Tri-Cities High School,
Fulton County,Oakley Elementary School,85.52
Fulton County,Birmingham Falls Elementary School,
Fulton County,Conley Hills Elementary School,
Fulton County,Asa Hilliard Elementary School,
Fulton County,Ison Springs Elementary School,77.25
Fulton County,Sandtown Middle School ,65.06
Fulton County,Summit Hill Elementary,
Fulton County,Nolan Elementary School,
Fulton County,Bear Creek Middle School,86.21
Fulton County,Creek View Elementary School,12.87
Fulton County,McClarin High School,
Fulton County,Mimosa Elementary School,92.21
Fulton County,Stonewall Tell Elementary School,55.52
Fulton County,North Springs High School,46.99
Fulton County,Hapeville Charter Career Academy,74.34
Fulton County,Westlake High School,56.69
Fulton County,Gullatt Elementary School,
Fulton County,Woodland Middle School,
Fulton County,Sweet Apple Elementary School,6.04
Fulton County,Haynes Bridge Middle School,30.12
Fulton County,Lake Forest Elementary,
Fulton County,Crabapple Crossing Elementary School,
Fulton County,Crabapple Middle School,16.17
Fulton County,Hapeville Elementary School,
Fulton County,Centennial High School,34.73
Fulton County,McNair Middle School,
Fulton County,Brookview Elementary School,
Fulton County,Cambridge High School,6.35
Fulton County,Dolvin Elementary School,12.1
Fulton County,River Eves Elementary School,41.04
Fulton County,Lake Windward Elementary School,5.71
Fulton County,Sandy Springs Middle School,66.63
Fulton County,Alpharetta High School,11.26
Fulton County,Parklane Elementary School,
Fulton County,Webb Bridge Middle School,8.85
Fulton County,Mountain Park Elementary School,6.05
Gainesville City,Gainesville Exploration Academy,91.16
Gainesville City,Gainesville High School,69.06
Gainesville City,Gainesville Middle School,78.63
Gainesville City,Enota Multiple Intelligences Academy,64.78
Gainesville City,The Academy at Woods Mill,63.08
Gainesville City,Centennial Arts Academy,60.6
Gainesville City,Fair Street International Baccalaureate World School,88.37
Gainesville City,New Holland Core Knowledge Academy,89.93
Gilmer County,Ellijay Elementary School,75.74
Gilmer County,Clear Creek Middle School,65.74
Gilmer County,Mountain View Elementary,74.42
Gilmer County,Gilmer Middle school,94.9
Gilmer County,Gilmer High School,57.11
Gilmer County,Ellijay Primary School,75.79
Glascock County,Glascock County Consolidated School,55.64
Glynn County,Glynn Academy,40.9
Glynn County,Altama Elementary School,93.47
Glynn County,Oglethorpe Point Elementary School,27.5
Glynn County,Satilla Marsh Elementary School,44.75
Glynn County,Goodyear Elementary School,94.86
Glynn County,Glynn Middle,51.53
Glynn County,St. Simons Elementary School,51.04
Glynn County,Risley Middle School,60.73
Glynn County,Golden Isles Elementary School,70.96
Glynn County,Morningstar Treatment Services  Inc. Youth Estate,
Glynn County,Greer Elementary School,53.23
Glynn County,Burroughs-Molette Elementary School,
Glynn County,Sterling Elementary School,73.48
Glynn County,Jane Macon Middle,69.31
Glynn County,Brunswick High School,61.7
Glynn County,Glyndale Elementary School,81.71
Glynn County,Needwood Middle School,71
Gordon County,Tolbert Elementary School,79.23
Gordon County,Belwood Elementary School,68.89
Gordon County,Swain Elementary School,74.73
Gordon County,Sonoraville Elementary,58.69
Gordon County,Sonoraville High School,52.05
Gordon County,Fairmount Elementary School,75.2
Gordon County,Sonoraville Middle School,59.26
Gordon County,Ashworth Middle School,73.98
Gordon County,Red Bud Middle School,58.65
Gordon County,Red Bud Elementary School,67.46
Gordon County,Gordon Central High School,65.08
Grady County,Cairo High School,88.71
Grady County,Eastside Elementary School,88.64
Grady County,Shiver Elementary School,88.61
Grady County,Northside Elementary School,88.67
Grady County,Whigham Elementary School,88.61
Grady County,Southside Elementary School,88.75
Grady County,Washington Middle School,88.63
Greene County,Greensboro Elementary,
Greene County,Anita White Carson Middle School,
Greene County,Union Point Elementary,
Greene County,Greene County High School,
Greene County,LAKE OCONEE CHARTER,
Griffin-Spalding County,Jackson Road Elementary School,77.69
Griffin-Spalding County,Cowan Road Middle School,90.3
Griffin-Spalding County,Kennedy Road Middle School,84.33
Griffin-Spalding County,Beaverbrook Elementary School,90.54
Griffin-Spalding County,Jordan Hill Road Elementary School,81.01
Griffin-Spalding County,Griffin High School,73.62
Griffin-Spalding County,AZ Kelsey Academy,71.67
Griffin-Spalding County,Orrs Elementary School,86.69
Griffin-Spalding County,Anne Street Elementary School,
Griffin-Spalding County,Carver Road Middle School,77.82
Griffin-Spalding County,Atkinson Elementary School,94.83
Griffin-Spalding County,Moreland Road Elementary,72.63
Griffin-Spalding County,Moore Elementary School,
Griffin-Spalding County,Futral Road Elementary School,62.24
Griffin-Spalding County,Cowan Road Elementary School,80.94
Griffin-Spalding County,Rehoboth Road Middle School,63.35
Griffin-Spalding County,Crescent Road Elementary School,53.56
Griffin-Spalding County,Spalding High School,58.24
Gwinnett County,Summerour Middle School,90.25
Gwinnett County,Mountain View High School,31.55
Gwinnett County,Level Creek Elementary School,7.6
Gwinnett County,Lanier High School,35.17
Gwinnett County,Berkeley Lake Elementary School,60.39
Gwinnett County,Chattahoochee Elementary School,44.17
Gwinnett County,Puckett's Mill Elementary School,12.63
Gwinnett County,Gwin Oaks Elementary School,39.23
Gwinnett County,Sycamore Elementary School,62.92
Gwinnett County,Moore Middle School,80.77
Gwinnett County,Berkmar High School,80.26
Gwinnett County,North Metro Academy of Performing Arts,
Gwinnett County,Brookwood High School,28.39
Gwinnett County,Roberts Elementary School,16.85
Gwinnett County,Walnut Grove Elementary School,41.4
Gwinnett County,Gwinnett Online Campus,15.3
Gwinnett County,Starling Elementary School,40.08
Gwinnett County,Dyer Elementary School,38.46
Gwinnett County,Ivy Creek Elementary School,33.87
Gwinnett County,Cedar Hill Elementary School,75.85
Gwinnett County,Five Forks Middle School,42.68
Gwinnett County,Fort Daniel Elementary School,25.74
Gwinnett County,Suwanee Elementary School,14.31
Gwinnett County,Nesbit Elementary School,91.85
Gwinnett County,Berkmar Middle School,91.76
Gwinnett County,Anderson-Livsey Elementary School,77.34
Gwinnett County,Lanier Middle School,40.34
Gwinnett County,Winn Holt Elementary School,81.96
Gwinnett County,Partee Elementary School,65.77
Gwinnett County,Sugar Hill Elementary School,45.59
Gwinnett County,Stripling Elementary School,92.7
Gwinnett County,Simonton Elementary School,79.51
Gwinnett County,Harbins Elementary School,36.27
Gwinnett County,Minor Elementary School,87.29
Gwinnett County,South Gwinnett High School,59.87
Gwinnett County,Pinckneyville Middle School,57.09
Gwinnett County,Jones Middle School,33.67
Gwinnett County,Annistown Elementary School,77.03
Gwinnett County,Central Gwinnett High School,75.55
Gwinnett County,Burnette Elementary School,28.29
Gwinnett County,Woodward Mill Elementary School,47.18
Gwinnett County,Simpson Elementary School,7.05
Gwinnett County,Parsons Elementary School,18.52
Gwinnett County,Dacula Elementary School,44.64
Gwinnett County,Mulberry Elementary School,35.91
Gwinnett County,Head Elementary School,35.09
Gwinnett County,New Life Academy of Excellence,
Gwinnett County,Grayson Elementary School,35.19
Gwinnett County,Grace Snell Middle School,69.14
Gwinnett County,Riverside Elementary School,7.64
Gwinnett County,Sweetwater Middle School,91.64
Gwinnett County,Crews Middle School,23.75
Gwinnett County,Lilburn Middle School,91.58
Gwinnett County,Phoenix High School,30.4
Gwinnett County,Radloff Middle School,88.41
Gwinnett County,Kanoheda Elementary School,92.67
Gwinnett County,Beaver Ridge Elementary School,90.49
Gwinnett County,Snellville Middle School,69.47
Gwinnett County,Knight Elementary School,67.05
Gwinnett County,North Gwinnett Middle School,10.4
Gwinnett County,Mountain Park Elementary School,50.08
Gwinnett County,Twin Rivers Middle School,38.8
Gwinnett County,Parkview High School,40.63
Gwinnett County,Arcado Elementary School,49.83
Gwinnett County,Lovin Elementary School,58
Gwinnett County,Alford Elementary,82.47
Gwinnett County,Lilburn Elementary School,89.76
Gwinnett County,Gwinnett InterVention Education (GIVE) Center East,59.82
Gwinnett County,McKendree Elementary School,65.77
Gwinnett County,Rock Springs Elementary School,46.99
Gwinnett County,Benefield Elementary School,81.09
Gwinnett County,Creekland Middle School,51.16
Gwinnett County,Jackson Elementary School,63.74
Gwinnett County,Collins Hill High School,38.77
Gwinnett County,Trickum Middle School ,46.73
Gwinnett County,Trip Elementary School,49.33
Gwinnett County,Osborne Middle School,17.5
Gwinnett County,Centerville Elementary School,80.03
Gwinnett County,Gwinnett School of Mathematics  Science and Technology,32.51
Gwinnett County,Craig Elementary School,31.93
Gwinnett County,Hopkins Elementary School,94.79
Gwinnett County,Chesney Elementary School,84.79
Gwinnett County,Peachtree Elementary School,80.28
Gwinnett County,Meadowcreek High School,85.22
Gwinnett County,Norcross High School,67.04
Gwinnett County,Mill Creek High School,21.64
Gwinnett County,Dacula High School,43.71
Gwinnett County,Lawrenceville Elementary School,90.83
Gwinnett County,McConnell Middle School,39.68
Gwinnett County,Gwinnett Intervention Education Center (GIVE) West,82.05
Gwinnett County,Harris Elementary School,65.6
Gwinnett County,Meadowcreek Elementary School,94.81
Gwinnett County,Rockbridge Elementary School,
Gwinnett County,Duluth Middle School ,63.47
Gwinnett County,Hull Middle School,28.58
Gwinnett County,Richards Middle School,80.27
Gwinnett County,Peachtree Ridge High School,32.4
Gwinnett County,Bay Creek Middle School,43.74
Gwinnett County,Archer High School,33.84
Gwinnett County,Rosebud Elementary School,71.97
Gwinnett County,Shiloh Middle School,73.68
Gwinnett County,Freeman's Mill Elementary School,34.09
Gwinnett County,Jordan Middle School,84.02
Gwinnett County,Dacula Middle School,47.46
Gwinnett County,Alcova Elementary School,61.96
Gwinnett County,Harmony Elementary School,31.93
Gwinnett County,Magill Elementary School,69.46
Gwinnett County,Couch Middle School,35.9
Gwinnett County,Bethesda Elementary School,85.88
Gwinnett County,Grayson High School,37.12
Gwinnett County,Brookwood Elementary School,30.57
Gwinnett County,Cooper Elementary School,35.1
Gwinnett County,Corley Elementary School,94.16
Gwinnett County,Norton Elementary School,77.23
Gwinnett County,Shiloh High School,62.99
Gwinnett County,Taylor Elementary School,51.12
Gwinnett County,Duluth High School,53.58
Gwinnett County,Oakland Meadow School,37.78
Gwinnett County,Shiloh Elementary School,73.24
Gwinnett County,Patrick Elementary School,34.49
Gwinnett County,Baggett Elementary School,85.57
Gwinnett County,North Gwinnett High School,10.37
Gwinnett County,Jenkins Elementary School,88.32
Gwinnett County,Camp Creek Elementary School,31.86
Gwinnett County,Pharr Elementary School,41.49
Gwinnett County,Britt Elementary School,70.56
Gwinnett County,Duncan Creek Elementary,23.99
Gwinnett County,Norcross Elementary School,90.41
Gwinnett County,Ferguson Elementary School,88.89
Gwinnett County,Mason Elementary School,39.34
Gwinnett County,Graves Elementary School,92.05
Gwinnett County,Discovery High School,74.66
Gwinnett County,Northbrook Middle School,52.41
